#Layout of plot zone full-shd : b2mn     B2.5 bjb99/7 SOLPS-ITER  2026-01-21  11:10 pshenoa ITER#012_(DT1-F57-W,_15MA,_H-mode,_D+He+Ne,_120MW,_wlld_3/9/
#R	Z	Rc	Zc	x	DG_elm
 4.12116E+00	 3.37549E+00	 4.11945E+00	 3.28893E+00	 1.21745E+01	  874
 4.11774E+00	 3.20237E+00	 4.11603E+00	 3.11559E+00	 1.23479E+01	  875
 4.11432E+00	 3.02880E+00	 4.11328E+00	 2.97637E+00	 1.24871E+01	  876
 4.11225E+00	 2.92394E+00	 4.10984E+00	 2.80173E+00	 1.26618E+01	  877
 4.10742E+00	 2.67952E+00	 4.10636E+00	 2.59166E+00	 1.28719E+01	  878
 4.10530E+00	 2.50380E+00	 4.10530E+00	 2.39542E+00	 1.30681E+01	  879
 4.10530E+00	 2.28704E+00	 4.10530E+00	 2.21866E+00	 1.32449E+01	  880
 4.10530E+00	 2.15027E+00	 4.10530E+00	 2.06155E+00	 1.34020E+01	  881
 4.10530E+00	 1.97284E+00	 4.10530E+00	 1.93760E+00	 1.35259E+01	  882
 4.10530E+00	 1.90237E+00	 4.10530E+00	 1.75974E+00	 1.37038E+01	  883
 4.10530E+00	 1.61711E+00	 4.10530E+00	 1.55490E+00	 1.39087E+01	  884
 4.10530E+00	 1.49268E+00	 4.10530E+00	 1.37676E+00	 1.40868E+01	  885
 4.10530E+00	 1.26084E+00	 4.10530E+00	 1.17182E+00	 1.42917E+01	  886
 4.10530E+00	 1.08281E+00	 4.10530E+00	 9.93899E-01	 1.44696E+01	  887
 4.10530E+00	 9.04989E-01	 4.10530E+00	 8.15660E-01	 1.46479E+01	  888
 4.10530E+00	 7.26332E-01	 4.10530E+00	 6.38357E-01	 1.48252E+01	  889
 4.10530E+00	 5.50383E-01	 4.10530E+00	 4.80070E-01	 1.49835E+01	  890
 4.10530E+00	 4.09757E-01	 4.10530E+00	 2.85083E-01	 1.51785E+01	  891
 4.10530E+00	 1.60410E-01	 4.10530E+00	 4.28434E-02	 1.54207E+01	  892
 4.10530E+00	-7.47232E-02	 4.10530E+00	-1.12968E-01	 1.55765E+01	  893
 4.10530E+00	-1.51213E-01	 4.10530E+00	-2.35381E-01	 1.56989E+01	  894
 4.10530E+00	-3.19549E-01	 4.10530E+00	-4.52097E-01	 1.59156E+01	  895
 4.10530E+00	-5.84646E-01	 4.10530E+00	-6.24861E-01	 1.60884E+01	  896
 4.10530E+00	-6.65076E-01	 4.10530E+00	-7.83421E-01	 1.62470E+01	  897
 4.10530E+00	-9.01767E-01	 4.10530E+00	-9.49759E-01	 1.64133E+01	  898
 4.10530E+00	-9.97751E-01	 4.10530E+00	-1.07893E+00	 1.65425E+01	  899
 4.10530E+00	-1.16010E+00	 4.10530E+00	-1.26078E+00	 1.67243E+01	  900
 4.10530E+00	-1.36146E+00	 4.10530E+00	-1.41811E+00	 1.68817E+01	  901
 4.10530E+00	-1.47477E+00	 4.10530E+00	-1.55046E+00	 1.70140E+01	  902
 4.10530E+00	-1.62615E+00	 4.10530E+00	-1.69956E+00	 1.71631E+01	  903
 4.10530E+00	-1.77297E+00	 4.10530E+00	-1.84380E+00	 1.73073E+01	  904
 4.10530E+00	-1.91464E+00	 4.10530E+00	-1.98263E+00	 1.74462E+01	  905
 4.10530E+00	-2.05063E+00	 4.10530E+00	-2.11543E+00	 1.75790E+01	  906
 4.10530E+00	-2.18024E+00	 4.10530E+00	-2.24177E+00	 1.77053E+01	  907
 4.10530E+00	-2.30330E+00	 4.10530E+00	-2.36012E+00	 1.78237E+01	  908
 4.10530E+00	-2.41694E+00	 4.10995E+00	-2.48157E+00	 1.79453E+01	    1
 4.13094E+00	-2.55132E+00	 4.16062E+00	-2.56063E+00	 1.80412E+01	 1053
 4.19030E+00	-2.56994E+00	 4.21626E+00	-2.58145E+00	 1.81007E+01	 1052
 4.24222E+00	-2.59297E+00	 4.26500E+00	-2.60559E+00	 1.81551E+01	 1051
 4.28779E+00	-2.61820E+00	 4.30767E+00	-2.63261E+00	 1.82057E+01	 1050
 4.32756E+00	-2.64701E+00	 4.34482E+00	-2.66182E+00	 1.82530E+01	 1049
 4.36207E+00	-2.67663E+00	 4.37672E+00	-2.69070E+00	 1.82961E+01	 1048
 4.39136E+00	-2.70477E+00	 4.40389E+00	-2.72090E+00	 1.83368E+01	 1047
 4.41641E+00	-2.73702E+00	 4.42762E+00	-2.75146E+00	 1.83755E+01	 1046
 4.43883E+00	-2.76590E+00	 4.44820E+00	-2.78143E+00	 1.84119E+01	 1045
 4.45758E+00	-2.79696E+00	 4.46554E+00	-2.81314E+00	 1.84481E+01	 1044
 4.47350E+00	-2.82931E+00	 4.48118E+00	-2.84493E+00	 1.84835E+01	 1043
 4.48886E+00	-2.86055E+00	 4.49541E+00	-2.88081E+00	 1.85222E+01	 1042
 4.50195E+00	-2.90106E+00	 4.50884E+00	-2.92759E+00	 1.85709E+01	 1041
 4.51573E+00	-2.95412E+00	 4.51954E+00	-2.99039E+00	 1.86348E+01	 1040
 4.52336E+00	-3.02666E+00	 4.52327E+00	-3.06097E+00	 1.87056E+01	 1039
 4.52317E+00	-3.09527E+00	 4.52138E+00	-3.10711E+00	 1.87519E+01	 1038
 4.51959E+00	-3.11895E+00	 4.51777E+00	-3.13096E+00	 1.87760E+01	 1037
 4.51595E+00	-3.14297E+00	 4.51490E+00	-3.14992E+00	 1.87951E+01	 1036
 4.51384E+00	-3.15686E+00	 4.51275E+00	-3.16407E+00	 1.88095E+01	 1035
 4.51166E+00	-3.17129E+00	 4.50902E+00	-3.18091E+00	 1.88267E+01	 1034
 4.50639E+00	-3.19053E+00	 4.49803E+00	-3.21334E+00	 1.88610E+01	  764
 4.48967E+00	-3.23614E+00	 4.48411E+00	-3.25129E+00	 1.89014E+01	  763
 4.47856E+00	-3.26644E+00	 4.46814E+00	-3.28918E+00	 1.89426E+01	  762
 4.45772E+00	-3.31192E+00	 4.45032E+00	-3.32708E+00	 1.89845E+01	  761
 4.44293E+00	-3.34224E+00	 4.42556E+00	-3.37785E+00	 1.90409E+01	  760
 4.40820E+00	-3.41346E+00	 4.39528E+00	-3.43995E+00	 1.91100E+01	  759
 4.38236E+00	-3.46644E+00	 4.37166E+00	-3.48839E+00	 1.91639E+01	  758
 4.36095E+00	-3.51034E+00	 4.35173E+00	-3.52925E+00	 1.92094E+01	  757
 4.34251E+00	-3.54816E+00	 4.33441E+00	-3.56476E+00	 1.92489E+01	  756
 4.32632E+00	-3.58136E+00	 4.31916E+00	-3.59605E+00	 1.92837E+01	  755
 4.31199E+00	-3.61074E+00	 4.30555E+00	-3.62396E+00	 1.93148E+01	  754
 4.29910E+00	-3.63718E+00	 4.29327E+00	-3.64914E+00	 1.93428E+01	  753
 4.28744E+00	-3.66109E+00	 4.28220E+00	-3.67184E+00	 1.93680E+01	  752
 4.27696E+00	-3.68259E+00	 4.27225E+00	-3.69224E+00	 1.93907E+01	  751
 4.26754E+00	-3.70189E+00	 4.26332E+00	-3.71055E+00	 1.94111E+01	  750
 4.25910E+00	-3.71920E+00	 4.25533E+00	-3.72694E+00	 1.94293E+01	  749
 4.25156E+00	-3.73467E+00	 4.24821E+00	-3.74153E+00	 1.94456E+01	  748
 4.24487E+00	-3.74838E+00	 4.24197E+00	-3.75432E+00	 1.94598E+01	  747
 4.23908E+00	-3.76026E+00	 4.23657E+00	-3.76541E+00	 1.94721E+01	  746
 4.23406E+00	-3.77055E+00	 4.23199E+00	-3.77480E+00	 1.94826E+01	  745
 4.22992E+00	-3.77905E+00	 4.22915E+00	-3.78062E+00	 1.94890E+01	  744
 4.22839E+00	-3.78219E+00	 4.22748E+00	-3.78404E+00	 1.94929E+01	  743
 4.22658E+00	-3.78589E+00	 4.22532E+00	-3.78848E+00	 1.94978E+01	  742
 4.22405E+00	-3.79108E+00	 4.22320E+00	-3.79282E+00	 1.95026E+01	  741
 4.22235E+00	-3.79457E+00	 4.22192E+00	-3.79545E+00	 1.95056E+01	  740
 4.22149E+00	-3.79633E+00	 4.22118E+00	-3.79696E+00	 1.95072E+01	  739
 4.22087E+00	-3.79760E+00	 4.22029E+00	-3.79879E+00	 1.95093E+01	  738
 4.21970E+00	-3.79999E+00	 4.21879E+00	-3.80187E+00	 1.95127E+01	  737
 4.21787E+00	-3.80375E+00	 4.21657E+00	-3.80641E+00	 1.95177E+01	  736
 4.21528E+00	-3.80907E+00	 4.21355E+00	-3.81260E+00	 1.95246E+01	  735
 4.21183E+00	-3.81614E+00	 4.20966E+00	-3.82058E+00	 1.95335E+01	  734
 4.20750E+00	-3.82502E+00	 4.20645E+00	-3.82717E+00	 1.95408E+01	  733
 4.20540E+00	-3.82933E+00	 4.20380E+00	-3.83260E+00	 1.95469E+01	  732
 4.20221E+00	-3.83587E+00	 4.19904E+00	-3.84236E+00	 1.95577E+01	  731
