#Layout of plot zone full-shd : b2mn     B2.5 bjb99/7 SOLPS-ITER  2026-01-21  11:10 pshenoa ITER#012_(DT1-F57-W,_15MA,_H-mode,_D+He+Ne,_120MW,_wlld_3/9/
#R	Z	Rc	Zc	x	DG_elm
 5.56420E+00	-4.25393E+00	 5.56420E+00	-4.24579E+00	 2.22168E+01	  794
 5.56420E+00	-4.23765E+00	 5.56420E+00	-4.23002E+00	 2.22325E+01	  795
 5.56420E+00	-4.22239E+00	 5.56420E+00	-4.20425E+00	 2.22583E+01	  796
 5.56420E+00	-4.18612E+00	 5.56420E+00	-4.16496E+00	 2.22976E+01	  797
 5.56420E+00	-4.14381E+00	 5.56420E+00	-4.11831E+00	 2.23442E+01	  798
 5.56420E+00	-4.09281E+00	 5.56420E+00	-4.07670E+00	 2.23858E+01	  799
 5.56420E+00	-4.06060E+00	 5.56420E+00	-4.04421E+00	 2.24183E+01	  800
 5.56420E+00	-4.02782E+00	 5.56420E+00	-3.99781E+00	 2.24647E+01	  801
 5.56420E+00	-3.96781E+00	 5.56420E+00	-3.94908E+00	 2.25135E+01	  802
 5.56420E+00	-3.93035E+00	 5.56533E+00	-3.89763E+00	 2.25649E+01	  803
 5.56645E+00	-3.86490E+00	 5.56748E+00	-3.83820E+00	 2.26244E+01	  804
 5.56850E+00	-3.81149E+00	 5.57279E+00	-3.78327E+00	 2.26797E+01	  805
 5.57708E+00	-3.75505E+00	 5.58181E+00	-3.73207E+00	 2.27317E+01	  806
 5.58655E+00	-3.70909E+00	 5.59382E+00	-3.68768E+00	 2.27778E+01	  807
 5.60109E+00	-3.66626E+00	 5.60762E+00	-3.64983E+00	 2.28181E+01	  808
 5.61415E+00	-3.63339E+00	 5.61785E+00	-3.62407E+00	 2.28458E+01	  809
 5.62155E+00	-3.61476E+00	 5.62412E+00	-3.60828E+00	 2.28628E+01	  810
 5.62669E+00	-3.60181E+00	 5.62928E+00	-3.59528E+00	 2.28768E+01	  811
 5.63188E+00	-3.58876E+00	 5.64221E+00	-3.57033E+00	 2.29049E+01	 1054
 5.65254E+00	-3.55191E+00	 5.66259E+00	-3.53661E+00	 2.29443E+01	 1055
 5.67264E+00	-3.52131E+00	 5.69539E+00	-3.48919E+00	 2.30020E+01	 1056
 5.71813E+00	-3.45706E+00	 5.74527E+00	-3.42962E+00	 2.30800E+01	 1057
 5.77241E+00	-3.40218E+00	 5.81069E+00	-3.37200E+00	 2.31673E+01	 1058
 5.84897E+00	-3.34181E+00	 5.87932E+00	-3.32183E+00	 2.32524E+01	 1059
 5.90968E+00	-3.30185E+00	 5.92948E+00	-3.29376E+00	 2.33101E+01	 1060
 5.94929E+00	-3.28567E+00	 5.96782E+00	-3.27810E+00	 2.33515E+01	 1061
 5.98636E+00	-3.27053E+00	 6.00456E+00	-3.26309E+00	 2.33912E+01	 1062
 6.02276E+00	-3.25566E+00	 6.03488E+00	-3.25282E+00	 2.34233E+01	 1063
 6.04700E+00	-3.24997E+00	 6.06251E+00	-3.24705E+00	 2.34516E+01	 1064
 6.07803E+00	-3.24412E+00
